URL,Meta Title (≤60 chars),Meta Description (≤160 chars),OG Title,OG Description,OG Image
/,"Nimikh — Engineering & Growth for Startups","Nimikh engineers headless commerce, custom SaaS, mobile apps, and AI agents for VC-backed startups and mid-market enterprises.","Nimikh — Engineering meets visual fluidity","Headless commerce, SaaS, mobile, and AI engineering for startups and enterprises. Dhaka HQ, serving globally.",/assets/og/home.jpg
/services/,"Services — Custom Software & Growth | Nimikh","Nimikh's five service pillars: headless commerce, mobile, SaaS, applied AI, and design systems.","Nimikh Services","Engineering and growth services for startups and enterprises.",/assets/og/services.jpg
/services/headless-commerce/,"Headless Commerce Development Agency | Nimikh","We build Next.js SSR headless storefronts with edge caching, design-token pipelines, and 40% faster cycle times.","Headless Commerce by Nimikh","Custom Next.js decoupled storefronts engineered for Core Web Vitals and conversion.",/assets/og/headless-commerce.jpg
/services/mobile-app-engineering/,"Mobile App Development — Flutter & Native | Nimikh","Cross-platform Flutter and native iOS/Android apps for FinTech, healthcare, and logistics.","Mobile App Engineering by Nimikh","Cross-platform mobile apps with biometric auth, offline-first, and push notifications.",/assets/og/mobile.jpg
/services/saas-platform-engineering/,"Custom SaaS Development Company | Nimikh","Multi-tenant SaaS with PostgreSQL RLS, SAML SSO, Stripe billing, and Kubernetes deploy.","SaaS Platform Engineering by Nimikh","Cloud-native multi-tenant SaaS engineered for isolation, billing, and scale.",/assets/og/saas.jpg
/services/applied-ai-automation/,"Applied AI Agents & Automation | Nimikh","Custom RAG agents, LangChain pipelines, and n8n workflow automation with PII guardrails.","Applied AI & Automation by Nimikh","Enterprise AI agents with vector retrieval, guardrails, and sub-1.5s response.",/assets/og/ai.jpg
/services/ui-ux-design-systems/,"UI/UX Design & Design Systems | Nimikh","Figma Tokens Studio to Tailwind CSS pipelines, cognitive-science-led UX, developer handoff.","Design Systems by Nimikh","Cognitive-science-led design systems mapped to code via automated variable handoff.",/assets/og/design.jpg
/team/,"Team — Nimikh Founders & Leadership","Meet Mohiuddin (CEO) and Maruf Shezad (CXO) — Nimikh's founding team.","Nimikh Team","Founders and leadership at Nimikh.",/assets/og/team.jpg
/company/,"About Nimikh — Mission, Vision, Values","Nimikh eliminates handoff friction between design, engineering, and growth for global startups and enterprises.","About Nimikh","Mission, vision, and company story.",/assets/og/about.jpg
/contact/,"Contact Nimikh — Get a Diagnostic","Book a free technical diagnostic. Reach Nimikh's Dhaka delivery hub via hey@nimikh.com or +8801335857104.","Contact Nimikh","Reach the Nimikh team.",/assets/og/contact.jpg
/insights/,"Insights — Engineering, Design, AI, Compliance","Deep-dive articles on headless commerce, multi-tenant SaaS, RAG systems, design tokens, and PDPA 2026.","Nimikh Insights","Engineering and growth insights.",/assets/og/insights.jpg
/case-studies/,"Case Studies — Verified Client Results | Nimikh","Verified project outcomes with quantified metrics and client sign-off across headless commerce, SaaS, and AI.","Nimikh Case Studies","Verified case studies with metrics.",/assets/og/case-studies.jpg
/glossary/,"Glossary — Engineering & Growth Terms | Nimikh","Reference definitions for headless commerce, multi-tenancy, RAG, PDPA 2026, and 30+ related terms.","Nimikh Glossary","Reference definitions for engineering and growth.",/assets/og/glossary.jpg
